,index,Book,Author,Image,Year,Description,Buy,Topics,Value
931,145,Wheels of Steel 3,Pepper Pace,https://m.media-amazon.com/images/I/41Mah4Pz+RL.jpg,2012,"Robin used to be the dependable friend and good girl, until Jason and his friends abused her trust. Now the once shy girl lives on the opposite end of the spectrum. Sordid nights filled with drug use and alcohol finds Robin now spiraling out of control.

And Jason will stop at nothing to gain her trust and love, and hopefully to save her from herself. In book 3 of this award nominated story, the tale of the Wheels of Steel gang continues with a new epilogue and ending never before seen in print.

This three part interracial love story explores the spirit of love and acceptance between a person with an obvious disability--and someone whose disabilities are not always quite so obvious. This story contains graphic sex, language and drug use and is intended for mature readers only.",https://www.goodreads.com/book/show/13570727-wheels-of-steel-book-3?from_search=true&from_srp=true&qid=WyIMvC5Pih&rank=1,Adult Romance,1
932,146,An Extraordinary Union,Alyssa Cole,https://m.media-amazon.com/images/I/51vVfDt5FpL._SY346_.jpg,2017,"As the Civil War rages between the states, a courageous pair of spies plunge fearlessly into a maelstrom of ignorance, deceit, and danger, combining their unique skills to alter the course of history and break the chains of the past.

Elle Burns is a former slave with a passion for justice and an eidetic memory. Trading in her life of freedom in Massachusetts, she returns to the indignity of slavery in the South - to spy for the Union Army. Malcolm McCall is a detective for Pinkerton's Secret Service. Subterfuge is his calling, but he's facing his deadliest mission yet - risking his life to infiltrate a Rebel enclave in Virginia. Two undercover agents who share a common cause - and an undeniable attraction - Malcolm and Elle join forces when they discover a plot that could turn the tide of the war in the Confederacy's favor. Caught in a tightening web of wartime intrigue, and fighting a fiery and forbidden love, Malcolm and Elle must make their boldest move to preserve the Union at any cost - even if it means losing each other.",https://www.amazon.com/An-Extraordinary-Union-audiobook/dp/B06XDWFSPD/ref=sr_1_1?dchild=1&keywords=Alyssa+Cole+An+Extraordinary+Union&qid=1615941261&s=audible&sr=1-1,Adult Romance,1
933,147,Bound to Fate,Kiru Taye,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453737866l/28695143._SY475_.jpg,2016,"Lara Johnson is coping with the emotional scars of losing both parents in a tragic incident and facing the challenges of starting a new school. Getting involved in a relationship isn't on her priority list. Certainly not this illicit desire for a man, who demands the best from her, yet leaves her breathless in his presence.

All Ike Thomas wants to do is to keep out of trouble and get through the one year internship required for his degree program. But trouble finds him, in the form of an intelligent and brave girl who turns his world upside down. Falling in love is forbidden. So why does it feel so right?

A love like theirs cannot be denied. But catastrophe lies in wait and one night changes their lives forever.

Bound to Fate is a story about surviving tragedy, forgiveness, and the overwhelming love that pulls through against the odds.

Content warning: This book contains scenes that might be triggering for some readers.",https://www.goodreads.com/book/show/28695143-bound-to-fate?from_search=true&from_srp=true&qid=KZkKYqHaCI&rank=1,Adult Romance,1
934,148,Strategic Seduction,Cheris Hodges,https://m.media-amazon.com/images/I/51InSszzlFL.jpg,2018,"Alicia Michaels needs a major career reboot, so she's got no time for romance. But starting over in Atlanta is an uphill battle for the cautious PR rep--especially after she teams up with wealthy Richmond Crawford on a make-or-break project. For one thing, the risk-taking entrepreneur is nothing like the staid businessman he used to be. For another, she and Richmond can't see eye-to-eye on anything--except that the reckless attraction between them is sizzling, off-the-charts trouble...

Playing by the rules got Richmond betrayal from his rich family--and shattering heartbreak. He's got to prove he can be his own man, so keeping things strictly-business with Alicia is the smart play. Still, even their conflicts only make Richmond want more of her honesty and courage. But a shocking revelation will endanger everything they're fighting to build. And making things right could be the final deal breaker.",https://www.amazon.com/Strategic-Seduction-Cheris-Hodges-ebook/dp/B074DGV3S6/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Strategic+seduction&qid=1615952699&s=digital-text&sr=1-1,Adult Romance,1
935,149,Another Chance to Love,Cheris Hodges,https://m.media-amazon.com/images/I/41TKE55FtmL.jpg,2018,"Brian Jackson is blindsided when his marriage ends and his wife leaves him and his son in their sleepy South Carolina hometown. Now, his life revolves around his five year old and being a school resource officer at Elmore High School. And he was content until she drove into his life.

Paige Grayson's arrival in Elmore, South Carolina is her chance for a fresh start after her smart mouth got her in trouble In Nashville. She never expected to find at tempting cop living across the street.

As Paige and Brian give in to their desire, his ex wife returns wanting her family back. Will Paige and Brian have a chance to love or does his ex still have a place in his heart?",https://www.amazon.com/Another-Chance-Love-Cheris-Hodges-ebook/dp/B07BJ4MVCT/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Another+chance+to+love&qid=1615946459&s=digital-text&sr=1-1,Adult Romance,1
938,152,Mating the Huntress: A Halloween Romance,Talia Hibbert,https://m.media-amazon.com/images/I/51EyTs1ZBNL._SY346_.jpg,2018,"This Halloween, love bites back... hard.

Chastity Adofo knows a monster when she sees one. As soon as Luke Anthony wanders into her family's coffee shop, she recognizes the evil lurking beneath his charming smile and fantastic arse. The handsome werewolf is determined to have her--but she's determined to cut out his heart.

Little does she know, Luke's plans for her are far more pleasurable than murder. And when the full moon rises, all bets are off...",https://www.amazon.com/Mating-Huntress-Interracial-Talia-Hibbert-ebook/dp/B07HLV1R85/ref=sr_1_1?dchild=1&keywords=Talia+Hibbert+Mating+the+huntress&qid=1616030938&sr=8-1,Adult Romance,1
952,166,Blitzed,Alexa Martin,https://m.media-amazon.com/images/I/41Kgzq820UL.jpg,2019,"Maxwell Lewis has to make the play of his life in order to breach the woman of his dream's defenses in this new football romance from the author of Fumbled.

Brynn Larson owes a lot to reality television and professional athletes. Her bar hit new heights of success after becoming a local haunt for the Denver Mustangs players and their WAGs. But although she's grateful, that doesn't mean she's crazy. And that's exactly what she would be to ever consider dating a professional athlete. Even if it's Maxwell Lewis, whose shy smile makes her wonder what going on behind those beautiful brown eyes.

Maxwell knew from the moment he met Brynn that she was going to change his life. It was only a matter of time. But when he finally makes a move, fate conspires against him and everything goes wrong. Now he has to show her that their potential is real. Too bad for him, Brynn isn't fooled by his glamorous NFL life, and when ghosts from both their pasts make a sudden reappearance, she must decide who she can trust. But when the person she's most afraid of is herself, navigating life's tackles is harder than anticipated.",https://www.amazon.com/Blitzed-Playbook-Book-Alexa-Martin-ebook/dp/B07PR7GG23/ref=sr_1_3?dchild=1&keywords=Alexa+Martin+Blitzed&qid=1615939871&s=books&sr=1-3,Adult Romance,1
953,167,That Kind of Guy,Talia Hibbert,https://m.media-amazon.com/images/I/515bct8wWJL._SY346_.jpg,2019,"She wants a fake relationship. He needs something real.

If there's one thing Rae can't stand, it's pity. She's forty, frazzled, and fed up--so attending an awards ceremony alone while her ex swans about with his new wife? Not an option. To avoid total humiliation, Rae needs a date of her own. And her young, hot-as-hell new best friend is the perfect candidate...

Zach Davis, king of casual hookups, has a secret: the notorious womanizer craves emotional connection, and anonymous encounters leave him feeling hollow. After years of performance, Zach's desperate to be himself. So why does he agree to play Rae's fake boyfriend? And why does it feel so easy?

When the line between pretence and desire blurs, Zach's forced to face an unexpected truth: there's nothing phoney about his need for Rae. But the jaded divorce's been hurt by playboy men before. Can a weekend of faking it prove that Zach's for real?",https://www.amazon.com/That-Kind-Guy-Ravenswood-Book-ebook/dp/B07PDHMSQG/ref=sr_1_2?dchild=1&keywords=Talia+Hibbert+That+kind+of+guy&qid=1616031100&sr=8-2,Adult Romance,1
957,171,Girl: A Story for Every Les Being,Christiana Harrell,https://m.media-amazon.com/images/I/416im8HUkjL.jpg,2019,"Take a journey with several characters in different stories. Christiana's first short story collection introduces you to the life of women who love women. She caters to every label and ""no label"" across the LGBTQ spectrum: studs, femmes, pillow princesses, no labels, butches, FTM's, bisexuals etc. Meet them all between one cover as your eyes explore fictional stories that will make you laugh and cry and maybe even a little bit angry from heated arguments, fist fights, struggles with religion, heartbreak, closet cases, deception, and passionate sex scenes. Nothing is left to the imagination. There is something for every lesbian from every walk of life.",https://www.amazon.com/Girl-Story-Every-Christiana-Harrell-ebook/dp/B07NKDHCYY/ref=sr_1_1?dchild=1&keywords=Christiana+Harrell+Girl&qid=1615952815&s=digital-text&sr=1-1,Adult Romance,1
961,175,Mangoes and Mistletoe: A Foodie Holiday Novella,Adriana Herrera,https://m.media-amazon.com/images/I/41QXe1o8TuL.jpg,2019,"Kiskeya Burgos left the tropical beaches of the Dominican Republic with a lot to prove. As a pastry chef on the come up, when she arrives in Scotland, she has one goal in mind: win the Holiday Baking Challenge. Winning is her opportunity to prove to her family, her former boss, and most importantly herself, she can make it in the culinary world. Kiskeya will stop at nothing to win, that is, if she can keep her eyes on the prize and off her infuriating teammate's perfect lips.

Sully Morales, home cooking hustler, and self-proclaimed baking brujita lands in Scotland on a quest to find her purpose after spending years as her family's caregiver. But now, with her home life back on track, it's time for Sully to get reacquainted with her greatest love, baking. Winning the Holiday Baking Challenge is a no brainer if she can convince her grumpy AF baking partner that they make a great team both in and out of the kitchen before an unexpected betrayal ends their chance to attain culinary competition glory.",https://www.amazon.com/Mangos-Mistletoe-Foodie-Holiday-Novella-ebook/dp/B081135L42/ref=sr_1_1?dchild=1&keywords=adriana+herrera+mangoes+and+mistletoe&qid=1615934091&s=books&sr=1-1,Adult Romance,1
962,176,Bending the Rules,Christina C. Jones,https://m.media-amazon.com/images/I/51oVjRS5YUL.jpg,2016,"Justin and Toni were friends.

Besties, with a whole list of life rules developed over a friendship that started when they were kids. As long as they stuck to the rules, even when they blended a business relationship into the friendship, things went off without a hitch.

But then one of them broke the rules - It was Justin. Justin broke the rules- and Toni has been mad about it ever since.

She's spent the last several years traveling the globe to cultivate her business, but now she's back in town. Her only goals? Help her parents with Mr. Bestseller's signing at the store, help them pack up their house to sell, and get out of town without too much interaction with her former best friend.

Mr. Bestseller has different goals.

He broke the rules - no getting around that, and he's not trying to. His main goal now that Toni is finally home is to get her to hear him out... and get his friend back.

Neither of them anticipated that the rift in their relationship would be the catalyst for seeing each other in a whole different light. But now that they do, they're wondering if it may be time to make some amendments to those rules.",https://www.amazon.com/Bending-Rules-Wright-Brothers-Book-ebook/dp/B01N046F8F/ref=sr_1_1?dchild=1&keywords=Christina+C.+Jones+Bending+the+rules&qid=1615952945&s=digital-text&sr=1-1,Adult Romance,1
964,178,"New Year, New We",Katrina Jackson,https://m.media-amazon.com/images/I/51onUQ71LJL._SY346_.jpg,2019,"Kierra has been in the honeymoon period with Monica and Lane for a few months. But as the year comes to a close she is confronted with questions she can't answer alone, because she's not an island anymore. Is this temporary? Do they love her as much as she loves them? Is there room for one more? In this New Year's interlude, check in on this polyamorous triad as they make their way carefully from lust to love. With still a lot of lust.

New Year, New We is an interlude in The Spies Who Loved Her series. These erotic romantic suspense stories are about sexy secret agents and the civilians who bring them to their knees.",https://www.amazon.com/New-Year-Spies-Loved-Book-ebook/dp/B07MJ7HBZ7/ref=sr_1_2?dchild=1&keywords=Katrina+Jackson+New+Year%2C+New+We&qid=1615956752&sr=8-2,Adult Romance,1
965,179,A Reunion of Rivals,Reese Ryan,https://m.media-amazon.com/images/I/41qf1-HL5DL.jpg,2020,"Sparks in the boardroom and the bedroom! Indulge in this sexy workplace reunion romance from Reese Ryan, part of The Bourbon Brothers series.

She can't let anything derail her passion project, not even a second chance with the sexiest man alive...

The deal that could bring Quinn Bazemore's career back from the brink has one catch: she must partner up with her ex-lover Max Abbott. Quinn can't forget the pleasure-filled summer they shared. But now she's butting heads over business strategy with the mouthwatering marketing VP, even as their reawakened desire threatens to expose her deepest secrets...",https://www.amazon.com/Reunion-Rivals-Bourbon-Brothers-Book-ebook/dp/B082WGW5CV/ref=sr_1_1?dchild=1&keywords=Reese+Ryan+A+Reunion+of+Rivals&qid=1616025237&sr=8-1,Adult Romance,1
968,182,A Lover's Vow,Brenda Jackson,https://m.media-amazon.com/images/I/51SkvtzYduL.jpg,2015,"She's all he's ever wanted. He's everything she'll ever need.

Business mogul Dalton Granger is as passionate as he is gorgeous, but private investigator Jules Bradford won't give him the time of day. She knows all about the youngest Granger brother--a charming bad boy whose only interest is playing the field.

But Dalton is more complicated than that, and he's determined to show Jules that behind all the bravado is the honest heart of a devoted son, brother... and a man whose own life is in peril.

Jules is the only person who can protect Dalton, and they embark on a mission to save his family and his legacy. But when their late nights in the office turn into early mornings in the bedroom, Jules and Dalton soon realize they have more at stake than they ever imagined.",https://www.amazon.com/Lovers-Vow-Grangers-Book-ebook/dp/B00PQIDTTU/ref=sr_1_1?dchild=1&keywords=Brenda+Jackson+A+lovers+vow&qid=1615945087&s=digital-text&sr=1-1,Adult Romance,1
970,184,Real Men Knit,Kwana Jackson,https://m.media-amazon.com/images/I/91-9WnEfR4L._AC_UY218_.jpg,2020,"When their foster-turned-adoptive mother suddenly dies, four brothers struggle to keep open the doors of her beloved Harlem knitting shop.
 
 Jesse Strong is known for two things: his devotion to his adoptive mom, Mama Joy, and his reputation for breaking hearts. When Mama Joy unexpectedly passes away, he and his brothers have different plans for what to do with Strong Knits, their neighborhood knitting store. Jesse wants to keep the store open. His brothers want to tie off loose ends and close shop....
 
 Part-time shop employee Kerry Fuller has kept her crush on Jesse a secret. When she overhears his impassioned plea to his brothers to keep the knitting shop open, she volunteers to help. Unlike Jesse, Kerry knows the ""knitty-gritty"" of the business, and together they make plans to reinvent Strong Knits for a new generation.
 
 But the more time they spend together, the stronger the chemistry builds between them. Kerry, knowing Jesse's history, doesn't believe their relationship can last longer than she can knit one, purl two. But Jesse is determined to prove to her that he can be the man for her forever and always. After all, real men knit.",https://www.amazon.com/Real-Men-Knit-Kwana-Jackson-ebook/dp/B07WYVBR5V/ref=sr_1_1?dchild=1&keywords=real+men+knit&qid=1615949974&s=digital-text&sr=1-1,Adult Romance,1
971,185,Royal Holiday,Jasmine Guillory,https://m.media-amazon.com/images/I/51+Qdlk++QL._SY346_.jpg,2019,"Vivian Forest has been out of the country a grand total of one time, so when she gets the chance to tag along on her daughter Maddie's work trip to England to style a royal family member, she can't refuse. She's excited to spend the holidays taking in the magnificent British sights, but what she doesn't expect is to become instantly attracted to a certain private secretary, his charming accent, and unyielding formality.

Malcolm Hudson has worked for the Queen for years and has never given a personal, private tour--until now. He is intrigued by Vivian the moment he meets her and finds himself making excuses just to spend time with her. When flirtatious banter turns into a kiss under the mistletoe, things snowball into a full-on fling.

Despite a ticking timer on their holiday romance, they are completely fine with ending their short, steamy affair come New Year's Day... or are they?",https://www.amazon.com/Royal-Holiday-Jasmine-Guillory-ebook/dp/B07PBPFW1J/ref=sr_1_4?dchild=1&keywords=Jasmine+Guillory+Party+of+two&qid=1615956450&sr=8-4,Adult Romance,1
972,186,Party of Two,Jasmine Guillory,https://m.media-amazon.com/images/I/51FwkQojA2L.jpg,2020,"Dating is the last thing on Olivia Monroe's mind when she moves to LA to start her own law firm. But when she meets a gorgeous man at a hotel bar and they spend the entire night flirting, she discovers too late that he is none other than hotshot junior senator Max Powell. Olivia has zero interest in dating a politician, but when a cake arrives at her office with the cutest message, she can't resist--it is chocolate cake, after all.

Olivia is surprised to find that Max is sweet, funny, and noble--not just some privileged white politician, as she assumed him to be. Because of Max's high-profile job, they start seeing each other secretly, which leads to clandestine dates and silly disguises. But when they finally go public, the intense media scrutiny means people are now digging up her rocky past and criticizing her job, even her suitability as a trophy girlfriend. Olivia knows what she has with Max is something special, but is it strong enough to survive the heat of the spotlight?",https://www.amazon.com/Party-Two-Jasmine-Guillory-ebook/dp/B081Y3TT9C/ref=sr_1_2?dchild=1&keywords=Jasmine+Guillory+Party+of+two&qid=1615956327&sr=8-2,Adult Romance,1
978,192,Private Eye,Katrina Jackson,https://m.media-amazon.com/images/I/41EyFfEBj2L._SY346_.jpg,2019,"Every Thursday night Kenny logs into Maya's camroom for a private, steamy session that leaves them both giddy, breathless and hungry for more. Their online relationship is complicated. She's a sex worker and he's her client. He's a spy and she was once his surveillance subject. Technically there are only two degrees of separation between them, but only Kenny knows that. What works online could never work in the real world, right? That's why they have to hide - even from each other - that their feelings run much deeper than they should.

When Kenny finally gets the chance to train under Monica, this career-defining opportunity comes with a catch: he has to tell Maya who he is and confess his deception, because the spies need her help to bring down an international arms ring.

Maya is heartbroken to find out that Kenny has been deceiving her for months. She struggles to reconcile the man she used to fantasize about and the one in front of her. But she agrees to help him for one reason: she needs the money. Or at least that's what she tells herself.

The entire mission hinges on the two being a believable couple in Maya's camroom to lure an Albanian mobster into a trap. In the process, they find that their online connection is even stronger offline. But is it strong enough to keep them alive when they have to walk into the mobster's lair and put on the performance of their lives?

Private Eye is the second book in The Spies Who Loved Her series. These erotic romantic suspense novels are about sexy secret agents and the civilians who bring them to their knees.

content warnings

graphic depictions of violence (shooting death)
graphic depictions of bodily harm
a racial epithet",https://www.amazon.com/Private-Eye-Spies-Loved-Book-ebook/dp/B07MLXQT2X/ref=sr_1_1?dchild=1&keywords=Katrina+Jackson+Private+Eye&qid=1615956904&sr=8-1,Adult Romance,1
979,193,Still the Best Woman for the Job,Sharon C. Cooper,https://m.media-amazon.com/images/I/51gasrX8UdL._SY346_.jpg,2013,"Joint heir to the largest construction company in the state of Ohio, master plumber, Toni (TJ) Jenkins has been groomed to behave in a way that is befitting of the respected Jenkins' family name. But after she breaks up with the only man she's ever loved, to protect a secret she holds close to her heart, poor decisions lead her down a path of destruction that risks ruining the reputation of the company her family has worked hard to build.

Cincinnati police officer, Craig Logan, knows Toni is the woman for him. They've been apart for months, but when they run into each other at a party, the passion between them sizzles stronger than ever. She says she can't handle dating a cop, but he senses that something else keeps her from rushing back into his arms. Craig wants her to be his wife, and he'll do whatever it takes to prove no matter what she's hiding, she's still the best woman for the job.",https://www.amazon.com/Still-Best-Woman-Jenkins-Family-ebook/dp/B00FCDZN5C/ref=sr_1_1?dchild=1&keywords=Sharon+C.+Cooper+Still+the+Best+Woman+for+the+Job&qid=1616021558&sr=8-1#,Adult Romance,1
980,194,Bittersweet,Christina C. Jones,https://m.media-amazon.com/images/I/41eJXE1g5XL.jpg,2019,"It's looking like Anika might be alone for the holidays... unless the very last person she'd ever want to spend them with can convince her otherwise.
Is it really enemies-to-lovers if the disdain is one-sided?",https://www.amazon.com/Bittersweet-Equilibrium-Book-Christina-Jones-ebook/dp/B082T2RD4K/ref=sr_1_1?dchild=1&keywords=Christina+C.+Jones+Bittersweet&qid=1615953056&s=digital-text&sr=1-1,Adult Romance,1
983,197,Babygirl and the Mean Boss,Pepper Pace,https://m.media-amazon.com/images/I/51FypLdGMXL.jpg,2012,"This story novella first appeared in Love Intertwined Vol. 1
Nicole wasn't sure why she had gotten the nick name Baby Girl when she was not-by far-the youngest employee of The Down Home Calabash. Her much younger co-worker complained, gossiped or talked about how attractive their boss was. But Nicole didn't have the luxury of a fantasy existence. She was on a mission to make money and to get her degree and her plans most definitely did not include Marty. Besides he was mean and he yelled at her!

But once she experiences a tragic accident, Nicole sees a different side of her sexy, boss. But each has their own secrets and if they can't express their heartfelt emotions their relationship might be doomed even before it begins.
This short Pepper Pace romance initially appeared on Literotica.com and then more recently in her collection of short stories entitled Love Intertwined vol. 1. This is one of the stories that helped propel Pepper Pace's popularity as a writer of interracial/multicultural romance. Word count 30,300. Adult themes. Mature readers only.",https://www.amazon.com/Babygirl-Mean-Boss-Pepper-Pace-ebook/dp/B008TE3WZ4/ref=sr_1_1?dchild=1&keywords=pepper+pace+baby+girl+and+the+mean+boss&qid=1616026926&sr=8-1,Adult Romance,1
984,198,Love After War,Cheris Hodges,https://m.media-amazon.com/images/I/51GUX8PLK2L._SY346_.jpg,2013,"When club owner Adrian Bryant discovers his biological father is hotel magnate Elliot Crawford, his life unravels. Shunned by Crawford while he and his mother struggled, Adrian hatches a high-profile plan to destroy the Crawford name--and the reputations of his two half-brothers. But to shield the woman he loves from the hell he intends to unleash, Adrian has to let her go.

Photographer Dana Singleton is heartbroken and confused by Adrian's behavior. But just when she's given up on their relationship, she begins to discover the truth--and a dark side of Adrian she never knew existed. As the stakes get higher, she will have to ask herself if she can love a man who is capable of such vengeance--or if he can learn to forgive.",https://www.amazon.com/Love-After-War-Cheris-Hodges-ebook/dp/B00CSX8UT0/ref=sr_1_1?dchild=1&keywords=Cheris+Hodges+Love+After+War&qid=1615952375&s=digital-text&sr=1-1,Adult Romance,1
985,199,Cream,Christiana Harrell,https://m.media-amazon.com/images/I/41qILD7evdL.jpg,2013,"Cream, an androgynous beauty, knows what it's like to be abandoned, broke, and used. Left to the state by her parents and taken under the wing of her selfish foster mother, Cream sets her focus on one thing: money. She dives head first into the exotic lifestyle of stripping. Starting out in gentlemen clubs, drama seems to follow her wherever she goes. Instead of facing the turmoil, she moves on to the next city, causing more chaos than what she left behind.

She thinks she has life all figured out until she crosses paths with Payton, a daddy's girl with lots of cash and a lust for women. Payton makes her learn things about herself that she never saw possible and with her new discovery comes a big change in her look and personality.

Cream is at the top of her game, surrounded by money and beautiful women. Then, one wild night forces her to discover yet another truth about herself and face the reality of her lifestyle. Will she continue to dwell in her unstable comfort zone? Or, will she finally open her eyes?",https://www.amazon.com/Cream-Stud-Life-Christiana-Harrell-ebook/dp/B00EP5F0PG/ref=sr_1_1?dchild=1&keywords=Christiana+Harrell+Cream&qid=1615952761&s=digital-text&sr=1-1,Adult Romance,1
989,203,Body Heat,Adrianne Byrd,https://m.media-amazon.com/images/I/51Y8c6LleyL.jpg,2010,"Nikki Jamison didn't know being a playwright in New York would end up like this. After a few financial and creative flops, she's determined to put her Broadway dreams behind her. Recalling a friend's story about an empty villa in St. Lucia, Nikki decides that it's the perfect place to recover-- in luxury! But when the home owner shows up unexpectedly, Nikki's little white lie leads to an out-of-control marital charade.

Hylan Dawson is married. Only problem is he doesn't know it. When Hylan takes off for his vacation home, his plan is to get a little R & R... maybe indulge in a summer fling. But as soon as he arrives on the island, the locals begin congratulating him on his recent nuptials. Hylan feels for his sexy wife, even if she is an impostor. Are the ""newlyweds"" falling into a bed of sizzling summer seduction--or marching toward a lifetime of wedded bliss?",https://www.amazon.com/Body-Heat-Hearts-at-Play-Getaway-Book-ebook/dp/B003SX15EQ/ref=sr_1_1?dchild=1&keywords=Adrianne+Byrd+Body+Heat&qid=1615934325&s=books&sr=1-1,Adult Romance,1
992,206,"Take a Hint, Dani Brown",Talia Hibbert,https://m.media-amazon.com/images/I/41Amw5olTpL._SY346_.jpg,2020,"Danika Brown knows what she wants: professional success, academic renown, and an occasional roll in the hay to relieve all that career-driven tension. But romance? Been there, done that, burned the T-shirt. Romantic partners, whatever their gender, are a distraction at best and a drain at worst. So Dani asks the universe for the perfect friend-with-benefits--someone who knows the score and knows their way around the bedroom.

When big, brooding security guard Zafir Ansari rescues Dani from a workplace fire drill gone wrong, it's an obvious sign: PhD student Dani and former rugby player Zaf are destined to sleep together. But before she can explain that fact to him, a video of the heroic rescue goes viral. Suddenly, half the internet is shipping #DrRugbae--and Zaf is begging Dani to play along. Turns out his sports charity for kids could really use the publicity. Lying to help children? Who on earth would refuse?

Dani's plan is simple: fake a relationship in public, seduce Zaf behind the scenes. The trouble is, grumpy Zaf is secretly a hopeless romantic--and he's determined to corrupt Dani's stone-cold realism. Before long, he's tackling her fears into the dirt. But the former sports star has issues of his own, and the walls around his heart are as thick as his... um, thighs.

The easy lay Dani dreamed of is now more complex than her thesis. Has her wish backfired? Is her focus being tested? Or is the universe just waiting for her to take a hint?",https://www.amazon.com/Take-Hint-Dani-Brown-Sisters-ebook/dp/B07Y8DL7CY/ref=sr_1_2?dchild=1&keywords=Talia+Hibbert+Take+a+hint%2C+Dani+Brown&qid=1616031012&sr=8-2,Adult Romance,1
993,207,Here to Stay,Adriana Herrera,https://m.media-amazon.com/images/I/51ZN1hKljEL.jpg,2020,"Starting over is more about who you're with than where you live...

Julia del Mar Ortiz is not having the best year.

She moved to Dallas with her boyfriend, who ended up ditching her and running back to New York after only a few weeks. Left with a massive-- by NYC standards, anyway--apartment and a car lease in the scorching Texas heat, Julia is struggling... except that's not completely true. Running the charitable foundation of one of the most iconic high fashion department stores in the world is serious #lifegoals.

It's more than enough to make her want to stick it out down South.

The only monkey wrench in Julia's plans is the blue-eyed, smart-mouthed consultant the store hired to take them public. Fellow New Yorker Rocco Quinn's first order of business? Putting Julia's job on the chopping block.

When Julia is tasked with making sure Rocco sees how valuable the programs she runs are, she's caught between a rock and a very hard set of abs. Because Rocco Quinn is almost impossible to hate--and even harder to resist.",https://www.amazon.com/Here-Stay-Adriana-Herrera-ebook/dp/B086R2QY77/ref=sr_1_1?dchild=1&keywords=adriana+herrera+here+to+stay&qid=1615934192&s=books&sr=1-1,Adult Romance,1
994,208,Intercepted,Alexa Martin,https://m.media-amazon.com/images/I/51oN1Oz4ZyL.jpg,2018,"Marlee thought she scored the man of her dreams only to be scorched by a bad breakup. But there's a new player on the horizon, and he's in a league of his own...

Marlee Harper is the perfect girlfriend. She's definitely had enough practice by dating her NFL-star boyfriend for the last ten years. But when she discovers he has been tackling other women on the sly, she vows to never date an athlete again. There's just one problem: Gavin Pope, the new hotshot quarterback and a fling from the past, has Marlee in his sights.

Gavin fights to show Marlee he's nothing like her ex. Unfortunately, not everyone is ready to let her escape her past. The team's wives, who never led the welcome wagon, are not happy with Marlee's return. They have only one thing on their minds: taking her down. But when the gossip makes Marlee public enemy number one, she worries about more than just her reputation.

Between their own fumbles and the wicked wives, it will take a Hail Mary for Marlee and Gavin's relationship to survive the season.",https://www.amazon.com/Intercepted-Playbook-Book-Alexa-Martin-ebook/dp/B0782XFG6L/ref=sr_1_1?dchild=1&keywords=Alexa+Martin+Intercepted&qid=1615940687&s=books&sr=1-1,Adult Romance,1
995,209,Beautiful & Dirty,Katrina Jackson,https://m.media-amazon.com/images/I/41j1vqNjFsL.jpg,2020,"Shae

Here's my advice for how to survive a vacation to Italy with the college boyfriend you've just now realized is terrible:

1. Ditch him in Rome.
2. Take the train to Naples for pizza.
3. Let the attractive older man you've just met buy you a drink.
4. Flirt a little (or a lot) while ignoring his wedding ring.
5. Let him bend you over a table.
6. Break up with your boyfriend.

--
Sal

There are a lot of ways to respond to the news that your wife is trying to kill you. I have sex with the young American who stumbles into my restaurant. And then I get revenge.

Content warnings:

assassination attempt (gunshot)
maiming
torture
discussion of murder",https://www.amazon.com/Beautiful-Dirty-Family-Book-1-ebook/dp/B086R2TNCP/ref=sr_1_1?dchild=1&keywords=Katrina+Jackson+Beautiful+%26+Dirty&qid=1615956658&sr=8-1,Adult Romance,1
996,210,Seducing the Boss Lady,Sharon C. Cooper,https://m.media-amazon.com/images/I/51fnPZej3QL.jpg,2016,"Master electrician, Peyton Jenkins, is tired of being the responsible Jenkins' girl. She's ready to hand over the reins of the family business for a chance to live life and find love. However, fear of getting hurt again keeps her from letting down her guard. That is until her world intersects with bad-boy, Michael Cutter. Their sparks ignite a passion that can't be denied.

Private investigator, Michael Cutter, has no intention of falling for another pretty face, not even someone as beautiful as Peyton. But her smokin' hot body and sass can't be ignored. She desires love and commitment, yet the sins of his father continue to haunt Michael, deterring him from pursuing any type of relationship other than a casual fling.

Will their pasts keep them from taking a chance on love? And will love be enough to heal old wounds?",https://www.amazon.com/Seducing-Boss-Lady-Jenkins-Family-ebook/dp/B01GT7BQO6/ref=sr_1_1?dchild=1&keywords=Sharon+C.+Cooper+Seducing+the+Boss+Lady&qid=1616021410&sr=8-1,Adult Romance,1
